country,country_code_2_digit,country_code_3_digit,population,reported_year_week,reported_week_start_date,reported_week_end_date,source,new_hospital_occupancy_Count,new_icu_occupancy_Count
Denmark,DK,DNK,5806081,2020-W21,2020-05-17,2020-05-23,,0.998952649816632,
Sweden,SE,SWE,10230185,2020-W21,2020-05-17,2020-05-23,,,1.08502436661703
Greece,EL,GRC,10724599,2020-W21,2020-05-17,2020-05-23,"TESSy COVID-19, national weekly data",,0.0372974318200615
Portugal,PT,PRT,10276617,2020-W21,2020-05-17,2020-05-23,"TESSy COVID-19, national daily data",1.39150850907453,
Slovenia,SI,SVN,2080908,2020-W21,2020-05-17,2020-05-23,"TESSy COVID-19, national weekly data",0.0,
Belgium,BE,BEL,11455519,2020-W21,2020-05-17,2020-05-23,"TESSy COVID-19, national weekly data",3.00291937886009,
Spain,ES,ESP,46937060,2020-W21,2020-05-17,2020-05-23,"TESSy COVID-19, national weekly data",0.994949406716143,0.0660458920946476
Cyprus,CY,CYP,875899,2020-W21,2020-05-17,2020-05-23,"TESSy COVID-19, national daily data",0.11416841439481,
United Kingdom,UK,GBR,66647112,2020-W21,2020-05-17,2020-05-23,,8.084371307792,
Ireland,IE,IRL,4904240,2020-W21,2020-05-17,2020-05-23,,1.50889842258943,0.203905192241815
Estonia,EE,EST,1324820,2020-W21,2020-05-17,2020-05-23,"TESSy COVID-19, national daily data",1.81156685436512,
Estonia,EE,EST,1324820,2020-W21,2020-05-17,2020-05-23,"TESSy COVID-19, national weekly data",,0.0754819522652134
Czechia,CZ,CZE,10649800,2020-W21,2020-05-17,2020-05-23,"TESSy COVID-19, national weekly data",1.40847715450055,0.384983755563485
Netherlands,NL,NLD,17282163,2020-W21,2020-05-17,2020-05-23,"TESSy COVID-19, national daily data",0.34139245185918,
France,FR,FRA,67012883,2020-W21,2020-05-17,2020-05-23,,,0.399923101353512
Sweden,SE,SWE,10230185,2020-W20,2020-05-10,2020-05-16,,,1.21209929243704
Slovenia,SI,SVN,2080908,2020-W20,2020-05-10,2020-05-16,"TESSy COVID-19, national weekly data",0.0,
Portugal,PT,PRT,10276617,2020-W20,2020-05-10,2020-05-16,"TESSy COVID-19, national daily data",1.44989348148326,
Estonia,EE,EST,1324820,2020-W20,2020-05-10,2020-05-16,"TESSy COVID-19, national daily data",0.754819522652134,
Netherlands,NL,NLD,17282163,2020-W20,2020-05-10,2020-05-16,,,0.196734633274782
Estonia,EE,EST,1324820,2020-W20,2020-05-10,2020-05-16,"TESSy COVID-19, national weekly data",,0.377409761326067
Ireland,IE,IRL,4904240,2020-W20,2020-05-10,2020-05-16,,1.44772686491689,0.387419865259449
Spain,ES,ESP,46937060,2020-W20,2020-05-10,2020-05-16,"TESSy COVID-19, national weekly data",1.28896015216973,0.0639153794464332
Netherlands,NL,NLD,17282163,2020-W20,2020-05-10,2020-05-16,"TESSy COVID-19, national daily data",0.52655445964721,
United Kingdom,UK,GBR,66647112,2020-W20,2020-05-10,2020-05-16,,9.56080437513932,
Germany,DE,DEU,83019213,2020-W20,2020-05-10,2020-05-16,"TESSy COVID-19, national daily data",0.562520389105592,
France,FR,FRA,67012883,2020-W20,2020-05-10,2020-05-16,,,0.640175412241255
Greece,EL,GRC,10724599,2020-W20,2020-05-10,2020-05-16,"TESSy COVID-19, national weekly data",,0.0466217897750769
Romania,RO,ROU,19414458,2020-W20,2020-05-10,2020-05-16,"TESSy COVID-19, national weekly data",,
Croatia,HR,HRV,4076246,2020-W20,2020-05-10,2020-05-16,,0.367985641690909,
