country,country_code,country_code_2_digit,country_code_3_digit,cases_Count,deaths_Count,population,source,reported_date
Luxembourg,LUX,LU,LUX,55,0,613894,"Epidemic intelligence, national daily data",2020-09-30
Gibraltar,GIB,GI,GIB,0,0,33691,"Epidemic intelligence, national daily data",2020-04-25
Luxembourg,LUX,LU,LUX,15,3,613894,"Epidemic intelligence, national daily data",2020-05-18
Lithuania,LTU,LT,LTU,32,0,2794184,"Epidemic intelligence, national daily data",2020-09-10
Isle of Man,IMN,,,0,0,85032,"Epidemic intelligence, national daily data",2020-07-26
Gibraltar,GIB,GI,GIB,0,0,33691,"Epidemic intelligence, national daily data",2020-01-31
Guernsey,GGY,GG,GGY,0,0,64468,"Epidemic intelligence, national daily data",2020-02-29
Jersey,JEY,JE,JEY,0,0,107796,"Epidemic intelligence, national daily data",2020-06-06
Germany,DEU,DE,DEU,1507,5,83019213,"Epidemic intelligence, national daily data",2020-08-27
Finland,FIN,FI,FIN,0,0,5517919,"Epidemic intelligence, national daily data",2020-01-26
Greece,GRC,EL,GRC,3,0,10724599,"Epidemic intelligence, national daily data",2020-03-01
Greece,GRC,EL,GRC,48,3,10724599,"Epidemic intelligence, national daily data",2020-03-25
Guernsey,GGY,GG,GGY,0,0,64468,"Epidemic intelligence, national daily data",2020-08-27
Georgia,GEO,GE,GEO,8,0,3989175,"Epidemic intelligence, national daily data",2020-04-21
Gibraltar,GIB,GI,GIB,0,0,33691,"Epidemic intelligence, national daily data",2020-07-12
Lithuania,LTU,LT,LTU,30,1,2794184,"Epidemic intelligence, national daily data",2020-03-25
Netherlands,NLD,NL,NLD,209,13,17282163,"Epidemic intelligence, national daily data",2020-06-05
Ireland,IRL,IE,IRL,76,12,4904240,"Epidemic intelligence, national daily data",2020-05-24
Greece,GRC,EL,GRC,240,4,10724599,"Epidemic intelligence, national daily data",2020-09-20
Kosovo,RKS,,,4,1,1798506,"Epidemic intelligence, national daily data",2020-05-05
Romania,ROU,RO,ROU,3426,101,19414458,"Epidemic intelligence, national daily data",2020-10-06
Slovakia,SVK,SK,SVK,0,0,5450421,"Epidemic intelligence, national daily data",2020-05-20
Ukraine,UKR,UA,UKR,3130,56,43733759,"Epidemic intelligence, national daily data",2020-09-28
Russia,RUS,RU,RUS,0,0,145934460,"Epidemic intelligence, national daily data",2020-02-02
Ukraine,UKR,UA,UKR,807,23,43733759,"Epidemic intelligence, national daily data",2020-07-09
Norway,NOR,NO,NOR,0,0,5328212,"Epidemic intelligence, national daily data",2020-04-18
Turkey,TUR,TR,TUR,913,18,82003882,"Epidemic intelligence, national daily data",2020-07-24
Portugal,PRT,PT,PRT,2899,31,10276617,"Epidemic intelligence, national daily data",2020-10-24
Norway,NOR,NO,NOR,0,0,5328212,"Epidemic intelligence, national daily data",2020-02-11
Slovakia,SVK,SK,SVK,10,0,5450421,"Epidemic intelligence, national daily data",2020-05-09
